Change component parameters: Designator = "ANT2" ("ANT2"); Footprint = "CAPC3216X13N"; UniqueID = "\REYXIXWZ" ("\REYXIXWZ")
Change component parameters (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Change component parameters: Designator = "U6" ("U6"); Footprint = "IS-QFN-24_V"; UniqueID = "\NOUVDBNC" ("\NOUVDBNC")
Change component parameters (AddParameter): Name = "Category"; Value = "Sensors,Transducers"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet URL"; Value = "http://datasheet.octopart.com/MPU-6050-InvenSense-datasheet-14421344.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Version"; Value = "Rev. 3.3, 05/2012"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dynamic Catalog"; Value = "MPU-6000™Series"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Family"; Value = "Multifunction"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Featured Product"; Value = "MPU-60506-Axis,IntegratedI²CSolution"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part #"; Value = "C24112"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "TDK InvenSense"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer URL"; Value = "http://www.invensense.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFR.Part #"; Value = "MPU-6050"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Online Catalog"; Value = "MPU-6000™Series"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Other Names"; Value = "1428-1007-2
MPU6050"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Type"; Value = "Digital"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Sensor Type"; Value = "MotionTracking"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Standard Package"; Value = "5,000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Unit PriceUSD"; Value = "Digital"; VariantName = "[No Variations]"
Change component parameters: Designator = "U7" ("U7"); Footprint = "FP-DRZ0012A-MFG"; UniqueID = "\FJZOXDYU" ("\FJZOXDYU")
Change component parameters (AddParameter): Name = "Ambient Temperature Range High"; Value = "+85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ambient Temperature Range Low"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "IC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.ti.com/lit/gpn/bq27441-g1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L1"; Value = "Integrated Circuits (ICs)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L2"; Value = "Power Management ICs"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L3"; Value = "Battery Management"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey Description"; Value = "IC BATT FUEL GAUGE LI-ION 12SON"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part #"; Value = "C473397"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "BQ27441DRZR-G1A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Supply Voltage"; Value = "4.5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFR.Part #"; Value = "BQ27441DRZR-G1A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Supply Voltage"; Value = "2.45V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Description"; Value = "System-Side Impedance Track? Battery Fuel (Gas) Gauge 12-SON -40 to 85"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Nominal Supply Current"; Value = "93uA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number Of Cells"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number Of Outputs"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart"; Value = "https://octopart.com/bq27441drzr-g1a-texas+instruments-30555829"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Voltage"; Value = "1.8V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "DRZ0012A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Standoff Height"; Value = "0mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature"; Value = "-40°C to +85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range High"; Value = "+85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range Low"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters: Designator = "U8" ("U8"); Footprint = "FP-RGT0016C-IPC_C"; UniqueID = "\OPYIPZDG" ("\OPYIPZDG")
Change component parameters (AddParameter): Name = "Battery Type"; Value = "LITHIUM-ION"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "QFN"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Gold"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.95mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part #"; Value = "C2865459"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "3.15mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Charge Current"; Value = "1.5A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Input Voltage"; Value = "26V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Output Current"; Value = "4.5A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Output Voltage"; Value = "5.6V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Supply Voltage"; Value = "6.4V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFR.Part #"; Value = "BQ24075RGTT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Input Voltage"; Value = "4.3V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Output Voltage"; Value = "5.4V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Supply Voltage"; Value = "4.35V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Cells"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "16"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Current"; Value = "1.5A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Voltage"; Value = "4.2V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Weight"; Value = "0.000808oz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "3.15mm"; VariantName = "[No Variations]"
Change component parameters: Designator = "U9" ("U9"); Footprint = "REG_NCP114AMX330TCG"; UniqueID = "\YQYZJWGF" ("\YQYZJWGF")
Change component parameters (AddParameter): Name = "Check_prices"; Value = "https://www.snapeda.com/parts/NCP114AMX330TCG/Onsemi/view-part/?ref=eda"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part #"; Value = "C133056"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "onsemi"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MF"; Value = "ON Semiconductor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFR.Part #"; Value = "NCP114AMX330TCG"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MP"; Value = "NCP114AMX330TCG"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "UDFN-4 ON Semiconductor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/NCP114AMX330TCG/Onsemi/view-part/?ref=snap"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Change component parameters: Designator = "U10" ("U10"); Footprint = "REG_NCP114AMX330TCG"; UniqueID = "\PKLSZURF" ("\PKLSZURF")
Change component parameters (AddParameter): Name = "Check_prices"; Value = "https://www.snapeda.com/parts/NCP114AMX330TCG/Onsemi/view-part/?ref=eda"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part #"; Value = "C133056"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "onsemi"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MF"; Value = "ON Semiconductor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFR.Part #"; Value = "NCP114AMX330TCG"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MP"; Value = "NCP114AMX330TCG"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "UDFN-4 ON Semiconductor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/NCP114AMX330TCG/Onsemi/view-part/?ref=snap"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Change component parameters: Designator = "U11" ("U11"); Footprint = "REG_NCP114AMX330TCG"; UniqueID = "\ROCYVITQ" ("\ROCYVITQ")
Change component parameters (AddParameter): Name = "Check_prices"; Value = "https://www.snapeda.com/parts/NCP114AMX330TCG/Onsemi/view-part/?ref=eda"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part #"; Value = "C133056"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "onsemi"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MF"; Value = "ON Semiconductor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFR.Part #"; Value = "NCP114AMX330TCG"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MP"; Value = "NCP114AMX330TCG"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "UDFN-4 ON Semiconductor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Parameter 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/NCP114AMX330TCG/Onsemi/view-part/?ref=snap"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Change component parameters: Designator = "X1" ("X1"); Footprint = "FC-135R_L3.2-W1.5"; UniqueID = "\PBBUORNJ" ("\PBBUORNJ")
Change component parameters (AddParameter): Name = "JLCPCB Part #"; Value = "C32346"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Seiko Epson"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFR.Part #"; Value = "Q13FC13500004"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "32.768kHz"; VariantName = "[No Variations]"
Change component parameters: Designator = "X2" ("X2"); Footprint = "CRYSTAL-SMD_4P-L3.2-W2.5-BL"; UniqueID = "\PKEPVSFD" ("\PKEPVSFD")
Change component parameters (AddParameter): Name = "Add into BOM"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Convert to PCB"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://atta.szlcsc.com/upload/public/pdf/source/20180906/C276421_0DB5B9EE345225C827799AFD2B19ACDB.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "ABM8G-16.000MHZ-18-D2Y-T"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Equivalent Series Resistance (ESR)"; Value = "80O"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "External load capacitor"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency Stability(Full temperature range)"; Value = "±30ppm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part #"; Value = "C1985423"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "16MHz ±20ppm 18pF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Abracon LLC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part"; Value = "ABM8G-16.000MHZ-18-D2Y-T"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFR.Part #"; Value = "ABM8G-16.000MHZ-18-D2Y-T"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Normal temperature Frequency Tolerance"; Value = "±20ppm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "SMD3225-4P"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part"; Value = "C1985423"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "ABM8G-16.000MHZ-18-D2Y-T"; VariantName = "[No Variations]"
Added Pin To Net: NetName=DW_MISO Pin=FPC2-4
Added Class: Name=N000-1_[0..1]
Added Class: Name=N000-5_[0..6]
Added Class: Name=N000-7_[0..5]
Added Class: Name=N000-8_[0..1]
Added Class: Name=N000-10_[0..2]
Added Class: Name=N000-11_[0..15]
Added Class: Name=N000-12_[0..2]
